month,region,region_name,revenue,cost,gross_profit,expense,budget,actual,currency
2025-01,RG-SOUTH,华南区,7980000,5745600,2234400,957600,8379000,7980000,CNY
2025-01,RG-EAST,华东区,6460000,4522000,1938000,775200,6783000,6460000,CNY
2025-01,RG-NORTH,华北区,3420000,2462400,957600,410400,3591000,3420000,CNY
2025-01,RG-HK,中国香港,2185000,1616900,568100,262200,2294250,2185000,CNY
2025-01,RG-SEA,东南亚,2755000,2038700,716300,330600,2892750,2755000,CNY
2025-01,RG-EU,欧洲,4275000,2992500,1282500,513000,4488750,4275000,CNY
2025-02,RG-SOUTH,华南区,8158469,6037267,2121202,979016,8566392,8158469,CNY
2025-02,RG-EAST,华东区,6604475,4755222,1849253,792537,6934699,6604475,CNY
2025-02,RG-NORTH,华北区,3496487,2587400,909087,419578,3671311,3496487,CNY
2025-02,RG-HK,中国香港,2233867,1563707,670160,268064,2345560,2233867,CNY
2025-02,RG-SEA,东南亚,2816614,1971630,844984,337994,2957445,2816614,CNY
2025-02,RG-EU,欧洲,4370608,3146838,1223770,524473,4589138,4370608,CNY
2025-03,RG-SOUTH,华南区,8340025,5838018,2502007,1000803,8757026,8340025,CNY
2025-03,RG-EAST,华东区,6751448,4996072,1755376,810174,7089020,6751448,CNY
2025-03,RG-NORTH,华北区,3574296,2502007,1072289,428916,3753011,3574296,CNY
2025-03,RG-HK,中国香港,2283578,1644176,639402,274029,2397757,2283578,CNY
2025-03,RG-SEA,东南亚,2879294,2073092,806202,345515,3023259,2879294,CNY
2025-03,RG-EU,欧洲,4467870,3306224,1161646,536144,4691264,4467870,CNY
2025-04,RG-SOUTH,华南区,8524714,6137794,2386920,1022966,8950950,8524714,CNY
2025-04,RG-EAST,华东区,6900959,4830671,2070288,828115,7246007,6900959,CNY
2025-04,RG-NORTH,华北区,3653449,2630483,1022966,438414,3836121,3653449,CNY
2025-04,RG-HK,中国香港,2334148,1727270,606878,280098,2450855,2334148,CNY
2025-04,RG-SEA,东南亚,2943056,2177861,765195,353167,3090209,2943056,CNY
2025-04,RG-EU,欧洲,4566811,3196768,1370043,548017,4795152,4566811,CNY
