order_id,shop_id,platform,sku,quantity,unit_price,discount,amount_excl_tax,refund_amount,customer_id,warehouse,order_date
O-2026-0187,SHOP-抖音-2,抖音,M10028S,2,199,0,398,398,C008,广州仓,2026-01-26
O-2026-0188,SHOP-Shopify-3,Shopify,M10032,3,259,0,777,0,C009,欧洲仓,2026-01-27
O-2026-0189,SHOP-Shopee-1,Shopee,M10033,1,319,16,303,0,C010,新加坡仓,2026-01-01
O-2026-0190,SHOP-天猫-2,天猫,M10034,2,379,0,758,0,C011,广州仓,2026-01-02
O-2026-0191,SHOP-京东-3,京东,M10035,3,439,0,1317,0,C012,上海仓,2026-01-03
O-2026-0192,SHOP-抖音-1,抖音,M10001,1,499,25,474,0,C013,广州仓,2026-01-04
O-2026-0193,SHOP-Shopify-2,Shopify,M10005,2,559,0,1118,0,C014,欧洲仓,2026-01-05
O-2026-0194,SHOP-Shopee-3,Shopee,M10010,3,619,0,1857,0,C015,新加坡仓,2026-01-06
O-2026-0195,SHOP-天猫-1,天猫,M10028,1,679,34,645,0,C016,广州仓,2026-01-07
O-2026-0196,SHOP-京东-2,京东,M10029,2,739,0,1478,0,C017,上海仓,2026-01-08
O-2026-0197,SHOP-抖音-3,抖音,M10030,3,799,0,2397,0,C018,广州仓,2026-01-09
O-2026-0198,SHOP-Shopify-1,Shopify,M10031,1,859,43,816,0,C019,欧洲仓,2026-01-10
O-2026-0199,SHOP-Shopee-2,Shopee,M10028S,2,919,0,1838,0,C020,新加坡仓,2026-01-11
O-2026-0200,SHOP-天猫-3,天猫,M10032,3,979,0,2937,2937,C001,广州仓,2026-01-12
O-2026-0201,SHOP-京东-1,京东,M10033,1,1039,52,987,987,C002,上海仓,2026-01-13
O-2026-0202,SHOP-抖音-2,抖音,M10034,2,1099,0,2198,2198,C003,广州仓,2026-02-14
O-2026-0203,SHOP-Shopify-3,Shopify,M10035,3,1159,0,3477,0,C004,欧洲仓,2026-02-15
O-2026-0204,SHOP-Shopee-1,Shopee,M10001,1,199,10,189,0,C005,新加坡仓,2026-02-16
O-2026-0205,SHOP-天猫-2,天猫,M10005,2,259,0,518,0,C006,广州仓,2026-02-17
O-2026-0206,SHOP-京东-3,京东,M10010,3,319,0,957,0,C007,上海仓,2026-02-18
O-2026-0207,SHOP-抖音-1,抖音,M10036,1,299,15,284,0,C008,广州仓,2026-02-19
O-2026-0208,SHOP-Shopify-2,Shopify,M10029,2,439,0,878,0,C009,欧洲仓,2026-02-20
O-2026-0209,SHOP-Shopee-3,Shopee,M10030,3,499,0,1497,0,C010,新加坡仓,2026-02-21
O-2026-0210,SHOP-天猫-1,天猫,M10031,1,559,28,531,0,C011,广州仓,2026-02-22
O-2026-0211,SHOP-京东-2,京东,M10028S,2,619,0,1238,0,C012,上海仓,2026-02-23
O-2026-0212,SHOP-抖音-3,抖音,M10032,3,679,0,2037,0,C013,广州仓,2026-02-24
O-2026-0213,SHOP-Shopify-1,Shopify,M10033,1,739,37,702,0,C014,欧洲仓,2026-02-25
O-2026-0214,SHOP-Shopee-2,Shopee,M10034,2,799,0,1598,0,C015,新加坡仓,2026-02-26
O-2026-0215,SHOP-天猫-3,天猫,M10035,3,859,0,2577,2577,C016,广州仓,2026-02-27
O-2026-0216,SHOP-京东-1,京东,M10001,1,919,46,873,0,C017,上海仓,2026-02-01
O-2026-0217,SHOP-抖音-2,抖音,M10005,2,979,0,1958,1958,C018,广州仓,2026-02-02
O-2026-0218,SHOP-Shopify-3,Shopify,M10010,3,1039,0,3117,0,C019,欧洲仓,2026-03-03
O-2026-0219,SHOP-Shopee-1,Shopee,M10028,1,1099,55,1044,0,C020,新加坡仓,2026-03-04
O-2026-0220,SHOP-天猫-2,天猫,M10029,2,1159,0,2318,0,C001,广州仓,2026-03-05
O-2026-0221,SHOP-京东-3,京东,M10030,3,199,0,597,0,C002,上海仓,2026-03-06
O-2026-0222,SHOP-抖音-1,抖音,M10031,1,259,13,246,0,C003,广州仓,2026-03-07
O-2026-0223,SHOP-Shopify-2,Shopify,M10028S,2,319,0,638,0,C004,欧洲仓,2026-03-08
O-2026-0224,SHOP-Shopee-3,Shopee,M10032,3,379,0,1137,0,C005,新加坡仓,2026-03-09
O-2026-0225,SHOP-天猫-1,天猫,M10033,1,439,22,417,0,C006,广州仓,2026-03-10
O-2026-0226,SHOP-京东-2,京东,M10034,2,499,0,998,0,C007,上海仓,2026-03-11
O-2026-0227,SHOP-抖音-3,抖音,M10035,3,559,0,1677,0,C008,广州仓,2026-03-12
O-2026-0228,SHOP-Shopify-1,Shopify,M10001,1,619,31,588,0,C009,欧洲仓,2026-03-13
O-2026-0229,SHOP-Shopee-2,Shopee,M10005,2,679,0,1358,1358,C010,新加坡仓,2026-03-14
O-2026-0230,SHOP-天猫-3,天猫,M10038,3,99,0,297,0,C011,广州仓,2026-03-15
O-2026-0231,SHOP-京东-1,京东,M10028,1,799,40,759,0,C012,上海仓,2026-03-16
O-2026-0232,SHOP-抖音-2,抖音,M10029,2,859,0,1718,0,C013,广州仓,2026-03-17
O-2026-0233,SHOP-Shopify-3,Shopify,M10030,3,919,0,2757,0,C014,欧洲仓,2026-03-18
O-2026-0234,SHOP-Shopee-1,Shopee,M10031,1,979,49,930,0,C015,新加坡仓,2026-03-19
O-2026-0235,SHOP-天猫-2,天猫,M10028S,2,1039,0,2078,0,C016,广州仓,2026-04-20
O-2026-0236,SHOP-京东-3,京东,M10032,3,1099,0,3297,0,C017,上海仓,2026-04-21
O-2026-0237,SHOP-抖音-1,抖音,M10033,1,1159,58,1101,0,C018,广州仓,2026-04-22
O-2026-0238,SHOP-Shopify-2,Shopify,M10034,2,199,0,398,0,C019,欧洲仓,2026-04-23
