domain,mode,s_pct,reuse,coverage,A_amortized,B_amortized,C_amortized,C_over_A,C_over_B,A_rows,B_rows,C_rows,quality_A,quality_B,quality_C
ecom,PRED_SHARED,1,1,0.0099,2.90653200,0.02989200,0.02989200,0.0103,1.0,10000,99,99,0.0,0.0,0.0
ecom,PRED_SHARED,1,10,0.0096,0.55010640,0.02731600,0.00626320,0.0114,0.2293,20000,960,192,1.0,1.0,1.0
ecom,PRED_SHARED,1,50,0.0096,0.11082128,0.02743400,0.00205736,0.0186,0.075,20000,4800,192,0.5,0.5,0.5
ecom,PRED_SHARED,1,100,0.0113,0.05591064,0.03194000,0.00161880,0.029,0.0507,20000,11300,226,0.0,0.0,0.0
ecom,PRED_SHARED,5,1,0.0548,2.90653200,0.16000200,0.16000200,0.055,1.0,10000,548,548,0.0,0.0,0.0
ecom,PRED_SHARED,5,10,0.0519,0.55010640,0.14335600,0.02947120,0.0536,0.2056,20000,5190,1038,0.5,0.5,0.5
ecom,PRED_SHARED,5,50,0.0519,0.11082128,0.14346600,0.00669864,0.0604,0.0467,20000,25950,1038,0.5,0.5,0.5
ecom,PRED_SHARED,5,100,0.0518,0.05591064,0.14334800,0.00384696,0.0688,0.0268,20000,51800,1036,0.0,0.0,0.0
ecom,PRED_SHARED,10,1,0.1003,2.90653200,0.29252400,0.29252400,0.1006,1.0,10000,1003,1003,0.0,0.0,0.0
ecom,PRED_SHARED,10,10,0.1009,0.55010640,0.27796600,0.05639320,0.1025,0.2029,20000,10090,2018,0.5,0.5,0.5
ecom,PRED_SHARED,10,50,0.095,0.11082128,0.26206000,0.01144240,0.1033,0.0437,20000,47500,1900,0.0,0.0,0.0
ecom,PRED_SHARED,10,100,0.098,0.05591064,0.26975600,0.00637512,0.114,0.0236,20000,98000,1960,0.0,0.0,0.0
ecom,PRED_SHARED,25,1,0.2573,2.90653200,0.74892400,0.74892400,0.2577,1.0,10000,2573,2573,0.0,0.0,0.0
ecom,PRED_SHARED,25,10,0.252,0.55010640,0.69342200,0.13948440,0.2536,0.2012,20000,25200,5040,0.0,0.0,0.0
ecom,PRED_SHARED,25,50,0.2502,0.11082128,0.68795600,0.02847824,0.257,0.0414,20000,125100,5004,0.5,0.5,0.5
ecom,PRED_SHARED,25,100,0.2501,0.05591064,0.68858600,0.01475172,0.2638,0.0214,20000,250100,5002,0.0,0.0,0.0
ecom,PRED_SHARED,50,1,0.4945,2.90653200,1.43780400,1.43780400,0.4947,1.0,10000,4945,4945,0.0,0.0,0.0
ecom,PRED_SHARED,50,10,0.5026,0.55010640,1.38043600,0.27688720,0.5033,0.2006,20000,50260,10052,0.0,0.0,0.0
ecom,PRED_SHARED,50,50,0.4968,0.11082128,1.36496200,0.05555848,0.5013,0.0407,20000,248400,9936,0.0,0.0,0.0
ecom,PRED_SHARED,50,100,0.5044,0.05591064,1.38613000,0.02870260,0.5134,0.0207,20000,504400,10088,0.0,0.0,0.0
ecom,PRED_SHARED,75,1,0.7465,2.90653200,2.16980000,2.16980000,0.7465,1.0,10000,7465,7465,1.0,1.0,1.0
ecom,PRED_SHARED,75,10,0.7473,0.55010640,2.05281400,0.41136280,0.7478,0.2004,20000,74730,14946,0.0,0.0,0.0
ecom,PRED_SHARED,75,50,0.7549,0.11082128,2.07382600,0.08391304,0.7572,0.0405,20000,377450,15098,0.5,0.5,0.5
ecom,PRED_SHARED,75,100,0.7484,0.05591064,2.05581000,0.04209620,0.7529,0.0205,20000,748400,14968,0.5,0.5,0.5
ecom,PRED_SHARED,100,1,1.0,2.90653200,2.90653200,2.90653200,1.0,1.0,10000,10000,10000,0.0,0.0,0.0
ecom,PRED_SHARED,100,10,1.0,0.55010640,2.74653200,0.55010640,1.0,0.2003,20000,100000,20000,0.0,0.0,0.0
ecom,PRED_SHARED,100,50,1.0,0.11082128,2.74653200,0.11082128,1.0,0.0403,20000,500000,20000,0.0,0.0,0.0
