s,reuse,n_cells,A,B,C,CBO,D,O,regret_D,regret_CBO,C_over_A,C_over_B,D_over_CBO
1,1,30,5.577963,0.054793,0.054977,0.054793,0.054793,0.054793,0.0,0.0,0.0099,1.0034,1.0
1,10,30,5.578683,0.559641,0.307685,0.328999,0.328999,0.307312,0.24083,0.24083,0.0553,0.5557,1.0
1,50,30,5.581883,2.803261,1.278642,1.319833,1.319833,1.276775,0.20535,0.20535,0.2293,0.4596,1.0
1,100,30,5.585883,5.611217,2.297442,2.376557,2.376557,2.293708,0.19617,0.19617,0.4117,0.4127,1.0
5,1,30,5.577963,0.281248,0.28219,0.281248,0.281248,0.281248,0.0,0.0,0.0506,1.0034,1.0
5,10,30,5.578683,2.834619,1.432311,1.554385,1.554385,1.430445,0.25226,0.25226,0.2567,0.5135,1.0
5,50,30,5.581883,12.533202,3.12689,3.280083,5.341982,3.123157,5.52231,0.22062,0.5603,0.3444,4.541
5,100,30,5.585883,23.969557,3.433648,3.595286,5.655541,3.429915,5.40514,0.21327,0.6149,0.2834,4.4998
10,1,30,5.577963,0.55796,0.559833,0.55796,0.55796,0.55796,0.0,0.0,0.1004,1.0034,1.0
10,10,30,5.578683,5.606504,2.649893,2.924733,2.924733,2.646159,0.26985,0.26985,0.4749,0.4753,1.0
10,50,30,5.581883,23.595236,3.599421,3.929746,5.826422,3.595687,2.80852,0.24201,0.6449,0.2894,2.6744
10,100,30,5.585883,46.087001,3.685174,4.017908,5.912621,3.681441,2.77367,0.23722,0.6599,0.2466,2.6656
25,1,30,5.577963,1.374413,1.379026,1.374413,1.374413,1.374413,0.0,0.0,0.2471,1.0034,1.0
25,10,30,5.578683,12.118266,3.8153,4.627183,6.071517,3.811566,1.16013,0.32165,0.6839,0.3977,1.517
25,50,30,5.581883,56.022363,4.170301,4.995728,6.405936,4.166568,1.10772,0.29927,0.7472,0.2455,1.5067
25,100,30,5.585883,110.846726,4.181078,5.001328,6.406133,4.177345,1.09793,0.29638,0.7487,0.2232,1.5037
50,1,30,5.577963,2.716011,2.72513,2.716011,2.716011,2.716011,0.0,0.0,0.4885,1.0034,1.0
50,10,30,5.578683,22.634496,4.868587,6.559498,7.121454,4.864853,0.61253,0.40964,0.8728,0.3412,1.1016
50,50,30,5.581883,108.650613,4.998613,6.62647,7.209741,4.99488,0.59876,0.39232,0.8956,0.2298,1.1054
50,100,30,5.585883,216.170712,5.013148,6.628842,7.201578,5.009414,0.59358,0.38948,0.8975,0.2153,1.1034
75,1,30,5.577963,4.00459,4.018037,4.00459,4.011595,4.00459,0.0018,0.0,0.7204,1.0034,1.0018
75,10,30,5.578685,32.119058,5.29325,7.778418,6.983242,5.289516,0.3223,0.49664,0.9489,0.3098,0.9073
75,50,30,5.58189,155.498115,5.30198,7.669885,6.874709,5.298246,0.30046,0.47461,0.9499,0.2227,0.9074
75,100,30,5.585897,309.685999,5.305986,7.657437,6.86226,5.302253,0.2972,0.47112,0.9499,0.2117,0.9074
100,1,30,5.577965,5.283295,5.301035,5.283295,5.301035,5.283295,0.00344,0.0,0.9504,1.0034,1.0034
100,10,30,5.578693,40.255742,5.578018,8.838794,5.77983,5.574284,0.03682,0.58518,0.9999,0.2936,0.7147
100,50,30,5.581933,195.882446,5.581933,8.682918,5.623392,5.5782,0.00809,0.556,1.0,0.2194,0.7148
100,100,30,5.585983,390.365096,5.585983,8.665066,5.60554,5.58225,0.00416,0.55151,1.0,0.2101,0.715
