domain,s,reuse,pattern,breadth,A,C_workload_scope,C_cell_scope,C_lru_10pct,C_lru_1pct,ratio_workload,ratio_cell,ratio_lru_10pct,ratio_lru_1pct,evictions_lru_10pct,evictions_lru_1pct,rows_rebuilt_lru_1pct
ecom,1,1,PRED_SHARED,2,5.194296,0.053362,0.053362,0.053362,0.053362,0.0103,0.0103,0.0103,0.0103,0,6,206
ecom,1,1,PRED_DISTINCT,2,5.194296,0.042781,0.042781,0.042781,0.042781,0.0082,0.0082,0.0082,0.0082,0,0,164
ecom,1,1,PRED_NESTED,2,5.194296,0.053362,0.053362,0.053362,0.053362,0.0103,0.0103,0.0103,0.0103,0,6,206
ecom,1,1,PRED_OVERLAP,2,5.194296,0.050206,0.050206,0.050206,0.050206,0.0097,0.0097,0.0097,0.0097,0,0,194
ecom,1,1,PRED_MUTEX,2,5.194296,0.051796,0.051796,0.051796,0.051796,0.01,0.01,0.01,0.01,0,0,200
ecom,1,10,PRED_SHARED,2,5.195016,0.054082,0.533618,0.054082,0.533618,0.0104,0.1027,0.0104,0.1027,0,1860,2060
ecom,1,10,PRED_DISTINCT,2,5.195016,0.467895,0.491322,0.467895,0.488709,0.0901,0.0946,0.0901,0.0941,0,1678,1878
ecom,1,10,PRED_NESTED,2,5.195016,0.100019,0.537998,0.100019,0.426229,0.0193,0.1036,0.0193,0.082,0,1441,1641
ecom,1,10,PRED_OVERLAP,2,5.195016,0.267597,0.508663,0.267597,0.363143,0.0515,0.0979,0.0515,0.0699,0,1198,1398
ecom,1,10,PRED_MUTEX,2,5.195016,0.519792,0.519792,0.519792,0.519792,0.1001,0.1001,0.1001,0.1001,0,1800,2000
ecom,1,50,PRED_SHARED,2,5.198216,0.057282,2.66809,0.057282,2.66809,0.011,0.5133,0.011,0.5133,0,10100,10300
ecom,1,50,PRED_DISTINCT,2,5.198216,2.039122,2.573098,2.355711,2.562095,0.3923,0.495,0.4532,0.4929,7050,9644,9844
ecom,1,50,PRED_NESTED,2,5.198216,0.114107,2.688771,0.114107,2.107313,0.022,0.5172,0.022,0.4054,0,7913,8113
ecom,1,50,PRED_OVERLAP,2,5.198216,1.133558,2.541745,1.178086,1.666022,0.2181,0.489,0.2266,0.3205,2526,6206,6406
ecom,1,50,PRED_MUTEX,2,5.198216,2.601196,2.601196,2.601196,2.601196,0.5004,0.5004,0.5004,0.5004,8000,9800,10000
ecom,1,100,PRED_SHARED,2,5.202216,0.061282,5.33618,0.061282,5.33618,0.0118,1.0258,0.0118,1.0258,0,20400,20600
ecom,1,100,PRED_DISTINCT,2,5.202216,3.278069,5.153546,4.7008,5.129002,0.6301,0.9906,0.9036,0.9859,16066,19514,19714
ecom,1,100,PRED_NESTED,2,5.202216,0.118107,5.373621,0.118107,4.252551,0.0227,1.0329,0.0227,0.8174,0,16173,16373
ecom,1,100,PRED_OVERLAP,2,5.202216,2.038859,5.120305,2.344833,3.406708,0.3919,0.9843,0.4507,0.6549,7001,12889,13089
ecom,1,100,PRED_MUTEX,2,5.202216,5.202216,5.202216,5.202216,5.202216,1.0,1.0,1.0,1.0,18000,19800,20000
ecom,10,1,PRED_SHARED,2,5.194296,0.529243,0.529243,0.529243,0.529243,0.1019,0.1019,0.1019,0.1019,38,1838,2038
ecom,10,1,PRED_DISTINCT,2,5.194296,0.509997,0.509997,0.509997,0.509997,0.0982,0.0982,0.0982,0.0982,0,1764,1964
ecom,10,1,PRED_NESTED,2,5.194296,0.529243,0.529243,0.529243,0.529243,0.1019,0.1019,0.1019,0.1019,38,1838,2038
ecom,10,1,PRED_OVERLAP,2,5.194296,0.509953,0.509953,0.509953,0.509953,0.0982,0.0982,0.0982,0.0982,0,1762,1962
ecom,10,1,PRED_MUTEX,2,5.194296,0.519512,0.519512,0.519512,0.519512,0.1,0.1,0.1,0.1,0,1800,2000
ecom,10,10,PRED_SHARED,2,5.195016,0.529963,5.292434,5.292434,5.292434,0.102,1.0188,1.0188,1.0188,18380,20180,20380
ecom,10,10,PRED_DISTINCT,2,5.195016,3.402469,5.228635,5.04161,5.228635,0.6549,1.0065,0.9705,1.0065,17411,19930,20130
ecom,10,10,PRED_NESTED,2,5.195016,0.970332,5.374424,4.208282,5.374424,0.1868,1.0345,0.8101,1.0345,14200,20492,20692
ecom,10,10,PRED_OVERLAP,2,5.195016,2.293672,5.247694,4.417831,5.247694,0.4415,1.0101,0.8504,1.0101,15002,19994,20194
ecom,10,10,PRED_MUTEX,2,5.195016,5.195016,5.195016,5.195016,5.195016,1.0,1.0,1.0,1.0,18000,19800,20000
ecom,10,50,PRED_SHARED,2,5.198216,0.533163,26.46217,26.46217,26.46217,0.1026,5.0906,5.0906,5.0906,99900,101700,101900
ecom,10,50,PRED_DISTINCT,2,5.198216,5.169859,26.111023,24.891972,26.111023,0.9945,5.0231,4.7886,5.0231,93808,100302,100502
ecom,10,50,PRED_NESTED,2,5.198216,1.052503,26.85739,20.456217,26.817492,0.2025,5.1667,3.9352,5.159,76753,103052,103252
ecom,10,50,PRED_OVERLAP,2,5.198216,4.831934,26.167735,21.294731,26.167735,0.9295,5.034,4.0965,5.034,79964,100516,100716
ecom,10,50,PRED_MUTEX,2,5.198216,5.198216,5.198216,5.198216,5.198216,1.0,1.0,1.0,1.0,18000,19800,20000
