cell,domain,s,reuse,pattern,breadth,realized_selectivity,union_share,n_queries,A,B,C,CBO,D,O,D_plus,optimal,regret_D,regret_CBO,regret_D_plus,regret_C,regret_A,regret_B,C_over_A,C_over_B,D_over_CBO,D_over_O,A_over_O,B_over_O,union_rows,semantic_rows_A,semantic_rows_B,semantic_rows_C,semantic_rows_D,tokens_A,tokens_D,switches_D,plan_hist_D,p95_A,p95_D
ecom|s1|r1|PRED_SHARED|c1,ecom,1,1,PRED_SHARED,1,0.0103,0.0103,1,2.595764,0.026603,0.026686,0.026603,0.026603,0.026603,0.026603,B,0.0,0.0,0.0,0.0031,96.57227,0.0,0.0103,1.0031,1.0,1.0,97.5723,1.0,103,10000,103,103,103,1058958,10856,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,2151.55
ecom|s1|r1|PRED_SHARED|c2,ecom,1,1,PRED_SHARED,2,0.0103,0.0103,1,5.194296,0.053197,0.053362,0.053197,0.053197,0.053197,0.053197,B,0.0,0.0,0.0,0.0031,96.64265,0.0,0.0103,1.0031,1.0,1.0,97.6426,1.0,206,20000,206,206,206,2011724,20625,0,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 1}",13.4,4379.1
ecom|s1|r1|PRED_SHARED|c4,ecom,1,1,PRED_SHARED,4,0.0103,0.0103,1,9.73136,0.099586,0.099916,0.099586,0.099586,0.099586,0.099586,B,0.0,0.0,0.0,0.00331,96.71815,0.0,0.0103,1.0033,1.0,1.0,97.7182,1.0,412,40000,412,412,412,3727256,38206,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,8216.2
ecom|s1|r1|PRED_DISTINCT|c1,ecom,1,1,PRED_DISTINCT,1,0.0082,0.0082,1,2.595764,0.021327,0.021393,0.021327,0.021327,0.021327,0.021327,B,0.0,0.0,0.0,0.00308,120.71257,0.0,0.0082,1.0031,1.0,1.0,121.7126,1.0,82,10000,82,82,82,1058958,8715,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,1724.95
ecom|s1|r1|PRED_DISTINCT|c2,ecom,1,1,PRED_DISTINCT,2,0.0082,0.0082,1,5.194296,0.04265,0.042781,0.04265,0.04265,0.04265,0.04265,B,0.0,0.0,0.0,0.00308,120.78889,0.0,0.0082,1.0031,1.0,1.0,121.7889,1.0,164,20000,164,164,164,2011724,16568,0,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 1}",13.4,3509.7
ecom|s1|r1|PRED_DISTINCT|c4,ecom,1,1,PRED_DISTINCT,4,0.0082,0.0082,1,9.73136,0.079884,0.080146,0.079884,0.079884,0.079884,0.079884,B,0.0,0.0,0.0,0.00328,120.81864,0.0,0.0082,1.0033,1.0,1.0,121.8186,1.0,328,40000,328,328,328,3727256,30716,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,6587.2
ecom|s1|r1|PRED_NESTED|c1,ecom,1,1,PRED_NESTED,1,0.0103,0.0103,1,2.595764,0.026603,0.026686,0.026603,0.026603,0.026603,0.026603,B,0.0,0.0,0.0,0.0031,96.57227,0.0,0.0103,1.0031,1.0,1.0,97.5723,1.0,103,10000,103,103,103,1058958,10856,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,2151.55
ecom|s1|r1|PRED_NESTED|c2,ecom,1,1,PRED_NESTED,2,0.0103,0.0103,1,5.194296,0.053197,0.053362,0.053197,0.053197,0.053197,0.053197,B,0.0,0.0,0.0,0.0031,96.64265,0.0,0.0103,1.0031,1.0,1.0,97.6426,1.0,206,20000,206,206,206,2011724,20625,0,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 1}",13.4,4379.1
ecom|s1|r1|PRED_NESTED|c4,ecom,1,1,PRED_NESTED,4,0.0103,0.0103,1,9.73136,0.099586,0.099916,0.099586,0.099586,0.099586,0.099586,B,0.0,0.0,0.0,0.00331,96.71815,0.0,0.0103,1.0033,1.0,1.0,97.7182,1.0,412,40000,412,412,412,3727256,38206,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,8216.2
ecom|s1|r1|PRED_OVERLAP|c1,ecom,1,1,PRED_OVERLAP,1,0.0097,0.0097,1,2.595764,0.025073,0.02515,0.025073,0.025073,0.025073,0.025073,B,0.0,0.0,0.0,0.0031,102.53032,0.0,0.0097,1.0031,1.0,1.0,103.5303,1.0,97,10000,97,97,97,1058958,10204,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,2030.05
