block,s,reuse,full_materialization,partial_materialization,on_demand,best,partial_over_full,ondemand_over_full,union_rows
2C_dependency,1,1,0.08225692,0.08225692,0.08225692,FULL,1.0,1.0,97
2C_dependency,1,10,0.82256925,0.08225692,0.82256925,PARTIAL,0.1,1.0,97
2C_dependency,1,50,4.11284624,0.08225692,4.11284624,PARTIAL,0.02,1.0,97
2C_dependency,10,1,0.84532184,0.84532184,0.84532184,FULL,1.0,1.0,1000
2C_dependency,10,10,8.45321844,0.84532184,8.45321844,PARTIAL,0.1,1.0,1000
2C_dependency,10,50,42.26609222,0.84532184,42.26609222,PARTIAL,0.02,1.0,1000
2C_dependency,50,1,4.20334249,4.20334249,4.20334249,PARTIAL,1.0,1.0,4971
2C_dependency,50,10,42.03342494,4.20334249,42.03342494,PARTIAL,0.1,1.0,4971
2C_dependency,50,50,210.1671247,4.20334249,210.1671247,PARTIAL,0.02,1.0,4971
2C_dependency,100,1,8.45257826,8.45257826,8.45257826,FULL,1.0,1.0,10000
2C_dependency,100,10,84.52578256,8.45257826,84.52578256,PARTIAL,0.1,1.0,10000
2C_dependency,100,50,422.6289128,8.45257826,422.6289128,PARTIAL,0.02,1.0,10000
