block,s,reuse,semantic_independent,semantic_shared,ratio_shared_over_independent,udf_independent,udf_shared,udf_ratio,semantic_specific_delta,n_operators,n_shared_artifacts
2B_fanout,1,1,0.158972,0.053014,0.3335,0.158972,0.053014,0.3335,0.0,5,2
2B_fanout,1,10,1.58972,0.53014,0.3335,1.58972,0.53014,0.3335,0.0,5,2
2B_fanout,1,50,7.9486,2.6507,0.3335,7.9486,2.6507,0.3335,0.0,5,2
2B_fanout,10,1,1.579096,0.526514,0.3334,1.579096,0.526514,0.3334,0.0,5,2
2B_fanout,10,10,15.79096,5.26514,0.3334,15.79096,5.26514,0.3334,0.0,5,2
2B_fanout,10,50,78.9548,26.3257,0.3334,78.9548,26.3257,0.3334,0.0,5,2
2B_fanout,50,1,7.678324,2.559928,0.3334,7.678324,2.559928,0.3334,0.0,5,2
2B_fanout,50,10,76.78324,25.59928,0.3334,76.78324,25.59928,0.3334,0.0,5,2
2B_fanout,50,50,383.9162,127.9964,0.3334,383.9162,127.9964,0.3334,0.0,5,2
2B_fanout,100,1,15.5018,5.168216,0.3334,15.5018,5.168216,0.3334,0.0,5,2
2B_fanout,100,10,155.018,51.68216,0.3334,155.018,51.68216,0.3334,0.0,5,2
2B_fanout,100,50,775.09,258.4108,0.3334,775.09,258.4108,0.3334,0.0,5,2
