block,s,reuse,strategy,semantic_total_cost,udf_total_cost,delta_cost,cost_ratio,semantic_rows_built,udf_rows_built,semantic_validation_cost,udf_validation_cost,semantic_tokens,udf_tokens,oracle,semantic_over_oracle
2A_cost_matched_udf,1,1,A,5.194296,5.194296,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,0.053197,97.6426
2A_cost_matched_udf,1,1,B,0.053197,0.053197,0.0,1.0,206,206,0.0,0.0,20625,20625,0.053197,1.0
2A_cost_matched_udf,1,1,C,0.0533618,0.0533618,0.0,1.0,206,206,0.0001648,0.0,20625,20625,0.053197,1.0031
2A_cost_matched_udf,1,1,D,0.053197,0.053197,0.0,1.0,206,206,0.0,0.0,20625,20625,0.053197,1.0
2A_cost_matched_udf,1,10,A,5.195016,5.195016,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,0.0540818,96.0585
2A_cost_matched_udf,1,10,B,0.53197,0.53197,0.0,1.0,2060,2060,0.0,0.0,206250,206250,0.0540818,9.8364
2A_cost_matched_udf,1,10,C,0.0540818,0.0540818,0.0,1.0,206,206,0.0001648,0.0,20625,20625,0.0540818,1.0
2A_cost_matched_udf,1,10,D,0.1071988,0.1071988,0.0,1.0,412,412,0.0001648,0.0,41250,41250,0.0540818,1.9822
2A_cost_matched_udf,1,50,A,5.198216,5.198216,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,0.0572818,90.7481
2A_cost_matched_udf,1,50,B,2.65985,2.65985,0.0,1.0,10300,10300,0.0,0.0,1031250,1031250,0.0572818,46.4345
2A_cost_matched_udf,1,50,C,0.0572818,0.0572818,0.0,1.0,206,206,0.0001648,0.0,20625,20625,0.0572818,1.0
2A_cost_matched_udf,1,50,D,0.1103988,0.1103988,0.0,1.0,412,412,0.0001648,0.0,41250,41250,0.0572818,1.9273
2A_cost_matched_udf,1,100,A,5.202216,5.202216,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,0.0612818,84.8901
2A_cost_matched_udf,1,100,B,5.3197,5.3197,0.0,1.0,20600,20600,0.0,0.0,2062500,2062500,0.0612818,86.8072
2A_cost_matched_udf,1,100,C,0.0612818,0.0612818,0.0,1.0,206,206,0.0001648,0.0,20625,20625,0.0612818,1.0
2A_cost_matched_udf,1,100,D,0.1143988,0.1143988,0.0,1.0,412,412,0.0001648,0.0,41250,41250,0.0612818,1.8668
2A_cost_matched_udf,10,1,A,5.194296,5.194296,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,0.527613,9.8449
2A_cost_matched_udf,10,1,B,0.527613,0.527613,0.0,1.0,2038,2038,0.0,0.0,204983,204983,0.527613,1.0
2A_cost_matched_udf,10,1,C,0.5292434,0.5292434,0.0,1.0,2038,2038,0.0016304,0.0,204983,204983,0.527613,1.0031
2A_cost_matched_udf,10,1,D,0.527613,0.527613,0.0,1.0,2038,2038,0.0,0.0,204983,204983,0.527613,1.0
2A_cost_matched_udf,10,10,A,5.195016,5.195016,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,0.5299634,9.8026
2A_cost_matched_udf,10,10,B,5.27613,5.27613,0.0,1.0,20380,20380,0.0,0.0,2049830,2049830,0.5299634,9.9556
2A_cost_matched_udf,10,10,C,0.5299634,0.5299634,0.0,1.0,2038,2038,0.0016304,0.0,204983,204983,0.5299634,1.0
2A_cost_matched_udf,10,10,D,1.0574964,1.0574964,0.0,1.0,4076,4076,0.0016304,0.0,409966,409966,0.5299634,1.9954
2A_cost_matched_udf,10,50,A,5.198216,5.198216,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,0.5331634,9.7498
2A_cost_matched_udf,10,50,B,26.38065,26.38065,0.0,1.0,101900,101900,0.0,0.0,10249150,10249150,0.5331634,49.4795
2A_cost_matched_udf,10,50,C,0.5331634,0.5331634,0.0,1.0,2038,2038,0.0016304,0.0,204983,204983,0.5331634,1.0
2A_cost_matched_udf,10,50,D,5.725749,5.725749,0.0,1.0,22038,22038,0.016,0.0,2216707,2216707,0.5331634,10.7392
2A_cost_matched_udf,10,100,A,5.202216,5.202216,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,0.5371634,9.6846
2A_cost_matched_udf,10,100,B,52.7613,52.7613,0.0,1.0,203800,203800,0.0,0.0,20498300,20498300,0.5371634,98.2221
2A_cost_matched_udf,10,100,C,0.5371634,0.5371634,0.0,1.0,2038,2038,0.0016304,0.0,204983,204983,0.5371634,1.0
2A_cost_matched_udf,10,100,D,5.729749,5.729749,0.0,1.0,22038,22038,0.016,0.0,2216707,2216707,0.5371634,10.6667
2A_cost_matched_udf,25,1,A,5.194296,5.194296,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,1.300109,3.9953
2A_cost_matched_udf,25,1,B,1.300109,1.300109,0.0,1.0,5022,5022,0.0,0.0,505137,505137,1.300109,1.0
2A_cost_matched_udf,25,1,C,1.3041266,1.3041266,0.0,1.0,5022,5022,0.0040176,0.0,505137,505137,1.300109,1.0031
2A_cost_matched_udf,25,1,D,1.300109,1.300109,0.0,1.0,5022,5022,0.0,0.0,505137,505137,1.300109,1.0
2A_cost_matched_udf,25,10,A,5.195016,5.195016,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,1.3048466,3.9813
2A_cost_matched_udf,25,10,B,13.00109,13.00109,0.0,1.0,50220,50220,0.0,0.0,5051370,5051370,1.3048466,9.9637
2A_cost_matched_udf,25,10,C,1.3048466,1.3048466,0.0,1.0,5022,5022,0.0040176,0.0,505137,505137,1.3048466,1.0
2A_cost_matched_udf,25,10,D,6.495045,6.495045,0.0,1.0,25022,25022,0.016,0.0,2516861,2516861,1.3048466,4.9776
2A_cost_matched_udf,25,50,A,5.198216,5.198216,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,1.3080466,3.974
2A_cost_matched_udf,25,50,B,65.00545,65.00545,0.0,1.0,251100,251100,0.0,0.0,25256850,25256850,1.3080466,49.6966
2A_cost_matched_udf,25,50,C,1.3080466,1.3080466,0.0,1.0,5022,5022,0.0040176,0.0,505137,505137,1.3080466,1.0
2A_cost_matched_udf,25,50,D,6.498245,6.498245,0.0,1.0,25022,25022,0.016,0.0,2516861,2516861,1.3080466,4.9679
2A_cost_matched_udf,25,100,A,5.202216,5.202216,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,1.3120466,3.965
2A_cost_matched_udf,25,100,B,130.0109,130.0109,0.0,1.0,502200,502200,0.0,0.0,50513700,50513700,1.3120466,99.0902
2A_cost_matched_udf,25,100,C,1.3120466,1.3120466,0.0,1.0,5022,5022,0.0040176,0.0,505137,505137,1.3120466,1.0
2A_cost_matched_udf,25,100,D,6.502245,6.502245,0.0,1.0,25022,25022,0.016,0.0,2516861,2516861,1.3120466,4.9558
