drift_rate,n_affected_rows,n_union_rows,policy,rebuild_cost,phase1_cost,total_cost,rebuild_over_full,affected_share_of_union
0.0,0,531,Eager_full_rebuild,5.168216,0.278387,5.446603,1.0,0.0
0.0,0,531,Late_affected_rows_rebuild,0,0.278387,0.278387,0.0,0.0
0.0,0,531,Adaptive_pick_min,0,0.278387,0.278387,0.0,0.0
0.0,0,531,No_invalidation_stale,0.0,0.278387,0.278387,0.0,0.0
0.0,0,531,KEY_GRANULARITY,0.274606,0.278387,0.552993,0.05313,
0.01,100,531,Eager_full_rebuild,5.168216,0.278387,5.446603,1.0,0.00753
0.01,100,531,Late_affected_rows_rebuild,0.002116,0.278387,0.280503,0.00041,0.00753
0.01,100,531,Adaptive_pick_min,0.002116,0.278387,0.280503,0.00041,0.00753
0.01,100,531,No_invalidation_stale,0.0,0.278387,0.278387,0.0,0.00753
0.01,100,531,KEY_GRANULARITY,0.274606,0.278387,0.552993,0.05313,
0.05,500,531,Eager_full_rebuild,5.168216,0.278387,5.446603,1.0,0.05838
0.05,500,531,Late_affected_rows_rebuild,0.016198,0.278387,0.294585,0.00313,0.05838
0.05,500,531,Adaptive_pick_min,0.016198,0.278387,0.294585,0.00313,0.05838
0.05,500,531,No_invalidation_stale,0.0,0.278387,0.278387,0.0,0.05838
0.05,500,531,KEY_GRANULARITY,0.274606,0.278387,0.552993,0.05313,
0.1,1000,531,Eager_full_rebuild,5.168216,0.278387,5.446603,1.0,0.09981
0.1,1000,531,Late_affected_rows_rebuild,0.027598,0.278387,0.305985,0.00534,0.09981
0.1,1000,531,Adaptive_pick_min,0.027598,0.278387,0.305985,0.00534,0.09981
0.1,1000,531,No_invalidation_stale,0.0,0.278387,0.278387,0.0,0.09981
0.1,1000,531,KEY_GRANULARITY,0.274606,0.278387,0.552993,0.05313,
0.25,2500,531,Eager_full_rebuild,5.168216,0.278387,5.446603,1.0,0.2354
0.25,2500,531,Late_affected_rows_rebuild,0.064918,0.278387,0.343305,0.01256,0.2354
0.25,2500,531,Adaptive_pick_min,0.064918,0.278387,0.343305,0.01256,0.2354
0.25,2500,531,No_invalidation_stale,0.0,0.278387,0.278387,0.0,0.2354
0.25,2500,531,KEY_GRANULARITY,0.274606,0.278387,0.552993,0.05313,
