workload,baseline,strategy,n_queries,n_rows,n_caps,mean_selectivity,total_cost,cost_per_query,semantic_tokens,semantic_rows_built,materialized_rows,materialization_coverage,cache_hit_rate,regret,oracle_cost,p50_ms,p95_ms,p99_ms,quality_note
A_query_driven,B0_naive_per_query,B,80,20000,4,0.01045,8.09704,0.101213,3106240,33440,0,0.0,0.0,37.67986,0.209335,8358.75,9042.9,9042.9,策略间质量恒定（同一 survivor → 同一 artifact → 同一答案）
A_query_driven,B1_eager_persistent,A,80,20000,4,0.01045,19.27832,0.240979,7391576,80000,80000,1.0,0.294781,91.09324,0.209335,21.4,21.4,21.4,策略间质量恒定（同一 survivor → 同一 artifact → 同一答案）
A_query_driven,B2_late_persistent,C,80,20000,4,0.01045,0.209335,0.00261669,77656,836,836,0.01045,0.975,0.0,0.209335,21.4,21.4,9042.9,策略间质量恒定（同一 survivor → 同一 artifact → 同一答案）
A_query_driven,B3_simple_cbo,CBO,80,20000,4,0.01045,0.411601,0.00514501,155312,1672,836,0.01045,0.95,0.96623,0.209335,21.4,21.4,9042.9,策略间质量恒定（同一 survivor → 同一 artifact → 同一答案）
A_query_driven,B4_adaptive,D,80,20000,4,0.01045,0.411601,0.00514501,155312,1672,836,0.01045,0.95,0.96623,0.209335,21.4,21.4,9042.9,策略间质量恒定（同一 survivor → 同一 artifact → 同一答案）
B_batch_analytics,B0_naive_per_query,B,200,20000,4,0.19974,385.693587,1.92846793,148005507,1597954,0,0.0,0.0,49.34311,7.661299,157814.95,302657.3,327638.5,策略间质量恒定（同一 survivor → 同一 artifact → 同一答案）
B_batch_analytics,B1_eager_persistent,A,200,20000,4,0.19974,19.28792,0.0964396,7391576,80000,80000,1.0,0.952323,1.51758,7.661299,21.4,21.4,21.4,策略间质量恒定（同一 survivor → 同一 artifact → 同一答案）
B_batch_analytics,B2_late_persistent,C,200,20000,4,0.19974,7.661299,0.03830649,2923951,31582,31582,0.394775,0.980236,0.0,7.661299,3119.2,3875.3,4116.1,策略间质量恒定（同一 survivor → 同一 artifact → 同一答案）
B_batch_analytics,B3_simple_cbo,CBO,200,20000,4,0.19974,7.734579,0.03867289,2952075,31886,31582,0.394775,0.980046,0.00956,7.661299,3119.2,3946.2,4654.4,策略间质量恒定（同一 survivor → 同一 artifact → 同一答案）
B_batch_analytics,B4_adaptive,D,200,20000,4,0.19974,13.894741,0.0694737,5354052,56160,55856,0.6982,0.965621,0.81363,7.661299,2754.6,3736.4,6283.1,策略间质量恒定（同一 survivor → 同一 artifact → 同一答案）
C_mixed,B0_naive_per_query,B,94,20000,4,0.02175,18.516924,0.19698855,7158592,75416,0,0.0,0.0,4.77584,3.205929,13589.9,34487.7,35325.6,策略间质量恒定（同一 survivor → 同一 artifact → 同一答案）
C_mixed,B1_eager_persistent,A,94,20000,4,0.02175,19.27944,0.20510043,7391576,80000,80000,1.0,0.485252,5.01368,3.205929,21.4,21.4,21.4,策略间质量恒定（同一 survivor → 同一 artifact → 同一答案）
C_mixed,B2_late_persistent,C,94,20000,4,0.02175,3.205929,0.03410563,1230972,12764,12764,0.15955,0.830752,0.0,3.205929,21.4,13550.1,19790.7,策略间质量恒定（同一 survivor → 同一 artifact → 同一答案）
C_mixed,B3_simple_cbo,CBO,94,20000,4,0.02175,3.527336,0.03752485,1355127,14149,12764,0.15955,0.812387,0.10025,3.205929,21.4,13802.5,19790.7,策略间质量恒定（同一 survivor → 同一 artifact → 同一答案）
C_mixed,B4_adaptive,D,94,20000,4,0.02175,11.808419,0.12562148,4481522,50827,49442,0.618025,0.555514,2.68331,3.205929,21.4,14527.4,724405.9,策略间质量恒定（同一 survivor → 同一 artifact → 同一答案）
