cell,scope,reuse,union_share,cap_share,pred_C_beats_A,actual_C_beats_A,correct
ecom|s1|r1|DISJOINT|w1|WORKLOAD,WORKLOAD,1,0.0105,1.0,1,1,1
ecom|s1|r1|DISJOINT|w1|CAP_10PCT,CAP_10PCT,1,0.0105,0.1,1,1,1
ecom|s1|r1|DISJOINT|w1|CELL,CELL,1,0.0105,1.0,1,1,1
ecom|s1|r1|DISJOINT|w2|WORKLOAD,WORKLOAD,1,0.0079,1.0,1,1,1
ecom|s1|r1|DISJOINT|w2|CAP_10PCT,CAP_10PCT,1,0.0079,0.1,1,1,1
ecom|s1|r1|DISJOINT|w2|CELL,CELL,1,0.0079,1.0,1,1,1
ecom|s1|r1|DISJOINT|w4|WORKLOAD,WORKLOAD,1,0.0107,1.0,1,1,1
ecom|s1|r1|DISJOINT|w4|CAP_10PCT,CAP_10PCT,1,0.0107,0.1,1,1,1
ecom|s1|r1|DISJOINT|w4|CELL,CELL,1,0.0107,1.0,1,1,1
ecom|s1|r1|OVERLAP|w1|WORKLOAD,WORKLOAD,1,0.0096,1.0,1,1,1
ecom|s1|r1|OVERLAP|w1|CAP_10PCT,CAP_10PCT,1,0.0096,0.1,1,1,1
ecom|s1|r1|OVERLAP|w1|CELL,CELL,1,0.0096,1.0,1,1,1
ecom|s1|r1|OVERLAP|w2|WORKLOAD,WORKLOAD,1,0.0104,1.0,1,1,1
ecom|s1|r1|OVERLAP|w2|CAP_10PCT,CAP_10PCT,1,0.0104,0.1,1,1,1
ecom|s1|r1|OVERLAP|w2|CELL,CELL,1,0.0104,1.0,1,1,1
ecom|s1|r1|OVERLAP|w4|WORKLOAD,WORKLOAD,1,0.0102,1.0,1,1,1
ecom|s1|r1|OVERLAP|w4|CAP_10PCT,CAP_10PCT,1,0.0102,0.1,1,1,1
ecom|s1|r1|OVERLAP|w4|CELL,CELL,1,0.0102,1.0,1,1,1
ecom|s1|r1|NESTED|w1|WORKLOAD,WORKLOAD,1,0.0103,1.0,1,1,1
