cell,domain,s,reuse,pattern,width,scope,n_rows,n_caps,realized_s,union_rows,union_share,overlap_ratio,mean_payload_len,survivor_payload_len,A,B,C,CBO,D,O,C_over_B,C_over_A,C_over_O,B_over_O,A_over_O,regret_C,regret_A,regret_B,logr_C_A,logr_C_B,tokens_A,tokens_B,tokens_C,tokens_O,rows_A,rows_B,rows_C,amort_A,amort_B,amort_C,amort_O,evictions_C,cov_C,quality_note
ecom|s1|r1|DISJOINT|w1|WORKLOAD,ecom,1,1,DISJOINT,1,WORKLOAD,10000,1,0.0105,105,0.0105,0.0,56.79,57.25,2.595764,0.02728,0.027364,0.02728,0.02728,0.02728,1.00308,0.01054,1.00308,1.0,95.1509,0.00308,94.1509,0.0,-4.55239,0.003074,1058958,11146,11146,8e-05,10000,105,105,2.595764,0.0272805,0.0273645,0.0272805,0,0.0105,策略间质量恒定（同一 survivor → 同一 artifact → 同一答案）
ecom|s1|r1|DISJOINT|w1|CAP_10PCT,ecom,1,1,DISJOINT,1,CAP_10PCT,10000,1,0.0105,105,0.0105,0.0,56.79,57.25,2.595764,0.02728,0.027364,0.02728,0.02728,0.02728,1.00308,0.01054,1.00308,1.0,95.1509,0.00308,94.1509,0.0,-4.55239,0.003074,1058958,11146,11146,8e-05,10000,105,105,2.595764,0.0272805,0.0273645,0.0272805,0,0.0105,策略间质量恒定（同一 survivor → 同一 artifact → 同一答案）
ecom|s1|r1|DISJOINT|w1|CELL,ecom,1,1,DISJOINT,1,CELL,10000,1,0.0105,105,0.0105,0.0,56.79,57.25,2.595764,0.02728,0.027364,0.02728,0.02728,0.02728,1.00308,0.01054,1.00308,1.0,95.1509,0.00308,94.1509,0.0,-4.55239,0.003074,1058958,11146,11146,8e-05,10000,105,105,2.595764,0.0272805,0.0273645,0.0272805,0,0.0105,策略间质量恒定（同一 survivor → 同一 artifact → 同一答案）
ecom|s1|r1|DISJOINT|w2|WORKLOAD,ecom,1,1,DISJOINT,2,WORKLOAD,10000,2,0.0079,79,0.0079,0.0,56.79,57.48,5.194296,0.041149,0.041275,0.041149,0.041149,0.041149,1.00307,0.00795,1.00307,1.0,126.2314,0.00307,125.2314,0.0,-4.83505,0.003067,2011724,15977,15977,8e-05,20000,158,158,5.194296,0.041149,0.0412754,0.041149,0,0.0079,策略间质量恒定（同一 survivor → 同一 artifact → 同一答案）
ecom|s1|r1|DISJOINT|w2|CAP_10PCT,ecom,1,1,DISJOINT,2,CAP_10PCT,10000,2,0.0079,79,0.0079,0.0,56.79,57.48,5.194296,0.041149,0.041275,0.041149,0.041149,0.041149,1.00307,0.00795,1.00307,1.0,126.2314,0.00307,125.2314,0.0,-4.83505,0.003067,2011724,15977,15977,8e-05,20000,158,158,5.194296,0.041149,0.0412754,0.041149,0,0.0079,策略间质量恒定（同一 survivor → 同一 artifact → 同一答案）
ecom|s1|r1|DISJOINT|w2|CELL,ecom,1,1,DISJOINT,2,CELL,10000,2,0.0079,79,0.0079,0.0,56.79,57.48,5.194296,0.041149,0.041275,0.041149,0.041149,0.041149,1.00307,0.00795,1.00307,1.0,126.2314,0.00307,125.2314,0.0,-4.83505,0.003067,2011724,15977,15977,8e-05,20000,158,158,5.194296,0.041149,0.0412754,0.041149,0,0.0079,策略间质量恒定（同一 survivor → 同一 artifact → 同一答案）
ecom|s1|r1|DISJOINT|w4|WORKLOAD,ecom,1,1,DISJOINT,4,WORKLOAD,10000,4,0.0107,107,0.0107,0.0,56.79,56.38,9.73136,0.103546,0.103888,0.103546,0.103546,0.103546,1.00331,0.01068,1.00331,1.0,93.98103,0.00331,92.98103,0.0,-4.539792,0.003301,3727256,39726,39726,8e-05,40000,428,428,9.73136,0.103546,0.1038884,0.103546,0,0.0107,策略间质量恒定（同一 survivor → 同一 artifact → 同一答案）
ecom|s1|r1|DISJOINT|w4|CAP_10PCT,ecom,1,1,DISJOINT,4,CAP_10PCT,10000,4,0.0107,107,0.0107,0.0,56.79,56.38,9.73136,0.103546,0.103888,0.103546,0.103546,0.103546,1.00331,0.01068,1.00331,1.0,93.98103,0.00331,92.98103,0.0,-4.539792,0.003301,3727256,39726,39726,8e-05,40000,428,428,9.73136,0.103546,0.1038884,0.103546,0,0.0107,策略间质量恒定（同一 survivor → 同一 artifact → 同一答案）
ecom|s1|r1|DISJOINT|w4|CELL,ecom,1,1,DISJOINT,4,CELL,10000,4,0.0107,107,0.0107,0.0,56.79,56.38,9.73136,0.103546,0.103888,0.103546,0.103546,0.103546,1.00331,0.01068,1.00331,1.0,93.98103,0.00331,92.98103,0.0,-4.539792,0.003301,3727256,39726,39726,8e-05,40000,428,428,9.73136,0.103546,0.1038884,0.103546,0,0.0107,策略间质量恒定（同一 survivor → 同一 artifact → 同一答案）
ecom|s1|r1|OVERLAP|w1|WORKLOAD,ecom,1,1,OVERLAP,1,WORKLOAD,10000,1,0.0096,96,0.0096,0.0,56.79,56.12,2.595764,0.024936,0.025013,0.024936,0.024936,0.024936,1.00308,0.00964,1.00308,1.0,104.09705,0.00308,103.09705,0.0,-4.642248,0.003075,1058958,10160,10160,8e-05,10000,96,96,2.595764,0.024936,0.0250128,0.024936,0,0.0096,策略间质量恒定（同一 survivor → 同一 artifact → 同一答案）
