row_id,domain,payload_len,variant,prompt_tokens,completion_tokens,total_tokens,parse_ok,field_accuracy,n_fields
ECOM-00001,ecom,69,V1,101,13,114,1,1,1
ECOM-00001,ecom,69,V2,115,20,135,1,1,2
ECOM-00001,ecom,69,V4,144,32,176,1,1,4
ECOM-00001,ecom,69,V8,208,112,320,1,1,8
ECOM-00001,ecom,69,SEP8_label,101,13,114,1,1,1
ECOM-00001,ecom,69,SEP8_amount,92,12,104,1,1,1
ECOM-00001,ecom,69,SEP8_currency,89,11,100,1,1,1
ECOM-00001,ecom,69,SEP8_has_discount,96,11,107,1,1,1
ECOM-00001,ecom,69,SEP8_has_defect,97,12,109,1,1,1
ECOM-00001,ecom,69,SEP8_product,94,10,104,1,0,1
ECOM-00001,ecom,69,SEP8_order_id,96,11,107,1,0,1
ECOM-00001,ecom,69,SEP8_summary,89,52,141,1,,1
ECOM-00053,ecom,54,V1,89,11,100,1,1,1
ECOM-00053,ecom,54,V2,103,18,121,1,1,2
ECOM-00053,ecom,54,V4,132,30,162,1,1,4
ECOM-00053,ecom,54,V8,196,97,293,1,0.8571,8
ECOM-00053,ecom,54,SEP8_label,89,11,100,1,1,1
ECOM-00053,ecom,54,SEP8_amount,80,8,88,1,1,1
ECOM-00053,ecom,54,SEP8_currency,77,7,84,1,1,1
ECOM-00053,ecom,54,SEP8_has_discount,84,11,95,1,1,1
ECOM-00053,ecom,54,SEP8_has_defect,85,12,97,1,1,1
ECOM-00053,ecom,54,SEP8_product,82,10,92,1,0,1
ECOM-00053,ecom,54,SEP8_order_id,84,19,103,1,1,1
ECOM-00053,ecom,54,SEP8_summary,77,42,119,1,,1
ECOM-00105,ecom,50,V1,90,12,102,1,1,1
ECOM-00105,ecom,50,V2,104,19,123,1,1,2
ECOM-00105,ecom,50,V4,133,31,164,1,1,4
ECOM-00105,ecom,50,V8,197,101,298,1,0.8571,8
ECOM-00105,ecom,50,SEP8_label,90,8,98,1,1,1
ECOM-00105,ecom,50,SEP8_amount,81,8,89,1,1,1
ECOM-00105,ecom,50,SEP8_currency,78,11,89,1,1,1
ECOM-00105,ecom,50,SEP8_has_discount,85,11,96,1,1,1
ECOM-00105,ecom,50,SEP8_has_defect,86,12,98,1,1,1
ECOM-00105,ecom,50,SEP8_product,83,10,93,1,1,1
ECOM-00105,ecom,50,SEP8_order_id,85,19,104,1,1,1
ECOM-00105,ecom,50,SEP8_summary,78,45,123,1,,1
ECOM-00157,ecom,50,V1,89,12,101,1,1,1
ECOM-00157,ecom,50,V2,103,19,122,1,1,2
ECOM-00157,ecom,50,V4,132,31,163,1,1,4
ECOM-00157,ecom,50,V8,196,100,296,1,1,8
ECOM-00157,ecom,50,SEP8_label,89,8,97,1,1,1
ECOM-00157,ecom,50,SEP8_amount,80,12,92,1,1,1
ECOM-00157,ecom,50,SEP8_currency,77,11,88,1,1,1
