block,s,reuse,strategy,capability_total_cost,udf_total_cost,delta_cost,cost_ratio,capability_rows_built,udf_rows_built,capability_tokens,udf_tokens,capability_validation,udf_validation,oracle
matched_udf,1,10,A,5.195016,5.195016,0.0,1.0,20000,20000,2011724,2011724,0.016,0.0,0.283751
matched_udf,1,10,B,0.521239,0.521239,0.0,1.0,2010,2010,202091,202091,0.0,0.0,0.283751
matched_udf,1,10,C,0.283751,0.283751,0.0,1.0,1090,1090,109569,109569,0.000872,0.0,0.283751
matched_udf,5,10,A,5.195016,5.195016,0.0,1.0,20000,20000,2011724,2011724,0.016,0.0,1.2774902
matched_udf,5,10,B,2.663882,2.663882,0.0,1.0,10284,10284,1034430,1034430,0.0,0.0,1.2774902
matched_udf,5,10,C,1.2774902,1.2774902,0.0,1.0,4914,4914,494473,494473,0.0039312,0.0,1.2774902
matched_udf,10,25,A,5.196216,5.196216,0.0,1.0,20000,20000,2011724,2011724,0.016,0.0,3.7898586
matched_udf,10,25,B,12.829208,12.829208,0.0,1.0,49520,49520,4983944,4983944,0.0,0.0,3.7898586
matched_udf,10,25,C,3.7898586,3.7898586,0.0,1.0,14582,14582,1467109,1467109,0.0116656,0.0,3.7898586
matched_udf,25,50,A,5.198216,5.198216,0.0,1.0,20000,20000,2011724,2011724,0.016,0.0,5.1914402
matched_udf,25,50,B,61.70572,61.70572,0.0,1.0,238328,238328,23972758,23972758,0.0,0.0,5.1914402
matched_udf,25,50,C,5.1914402,5.1914402,0.0,1.0,19974,19974,2009091,2009091,0.0159792,0.0,5.1914402
matched_udf,50,100,A,5.202216,5.202216,0.0,1.0,20000,20000,2011724,2011724,0.016,0.0,5.202216
matched_udf,50,100,B,227.098742,227.098742,0.0,1.0,877172,877172,88229878,88229878,0.0,0.0,5.202216
matched_udf,50,100,C,5.202216,5.202216,0.0,1.0,20000,20000,2011724,2011724,0.016,0.0,5.202216
