capability_field_count,reuse,per_query_build_cost,cache_on_total,cache_on_amortized,cache_off_total,cache_off_amortized,amortized_saving,artifact_lookup_cost,artifact_storage_cost,validation_cost,artifact_reuse_is_cause
V1,1,9.856e-05,0.00010011,0.00010011,9.856e-05,9.856e-05,-0.01573,5e-07,2.5e-07,8e-07,False
V1,10,9.856e-05,0.00010686,1.069e-05,0.0009856,9.856e-05,0.89158,5e-07,2.5e-07,8e-07,True
V1,50,9.856e-05,0.00013686,2.74e-06,0.004928,9.856e-05,0.97223,5e-07,2.5e-07,8e-07,True
V1,100,9.856e-05,0.00017436,1.74e-06,0.009856,9.856e-05,0.98231,5e-07,2.5e-07,8e-07,True
V4,1,0.0001714,0.00017295,0.00017295,0.0001714,0.0001714,-0.00904,5e-07,2.5e-07,8e-07,False
V4,10,0.0001714,0.0001797,1.797e-05,0.001714,0.0001714,0.89516,5e-07,2.5e-07,8e-07,True
V4,50,0.0001714,0.0002097,4.19e-06,0.00857,0.0001714,0.97553,5e-07,2.5e-07,8e-07,True
V4,100,0.0001714,0.0002472,2.47e-06,0.01714,0.0001714,0.98558,5e-07,2.5e-07,8e-07,True
V8,1,0.00036432,0.00036587,0.00036587,0.00036432,0.00036432,-0.00425,5e-07,2.5e-07,8e-07,False
V8,10,0.00036432,0.00037262,3.726e-05,0.0036432,0.00036432,0.89772,5e-07,2.5e-07,8e-07,True
V8,50,0.00036432,0.00040262,8.05e-06,0.018216,0.00036432,0.9779,5e-07,2.5e-07,8e-07,True
V8,100,0.00036432,0.00044012,4.4e-06,0.036432,0.00036432,0.98792,5e-07,2.5e-07,8e-07,True
SEP8,1,0.00079426,0.00079581,0.00079581,0.00079426,0.00079426,-0.00195,5e-07,2.5e-07,8e-07,False
SEP8,10,0.00079426,0.00080256,8.026e-05,0.0079426,0.00079426,0.89896,5e-07,2.5e-07,8e-07,True
SEP8,50,0.00079426,0.00083256,1.665e-05,0.039713,0.00079426,0.97904,5e-07,2.5e-07,8e-07,True
SEP8,100,0.00079426,0.00087006,8.7e-06,0.079426,0.00079426,0.98905,5e-07,2.5e-07,8e-07,True
