quantile,domain,variant,native_char_count,char_count,input_tokens,output_tokens,total_tokens,cost,accuracy,latency_ms
10,ecom,native,50,50,87,8,95,3.056e-05,1,499.5
10,ecom,augmented,50,136,143,8,151,3.952e-05,1,502.1
10,ecom,native,49,49,85,8,93,3.024e-05,1,506.9
10,ecom,augmented,49,135,141,8,149,3.92e-05,1,465.8
10,ecom,native,54,54,87,11,98,3.656e-05,1,477.5
10,ecom,augmented,54,140,143,7,150,3.752e-05,1,421.9
10,ecom,native,54,54,90,8,98,3.104e-05,1,423.0
10,ecom,augmented,54,140,146,8,154,4e-05,1,424.0
10,ecom,native,50,50,87,8,95,3.056e-05,1,401.6
10,ecom,augmented,50,136,143,8,151,3.952e-05,1,395.6
10,ecom,native,50,50,85,8,93,3.024e-05,1,363.2
10,ecom,augmented,50,136,141,8,149,3.92e-05,1,373.0
10,ecom,native,43,43,80,8,88,2.944e-05,1,326.9
10,ecom,augmented,43,129,136,12,148,4.64e-05,1,350.7
10,ecom,native,50,50,85,8,93,3.024e-05,1,312.5
10,ecom,augmented,50,136,141,8,149,3.92e-05,1,319.3
10,ecom,native,53,53,90,8,98,3.104e-05,1,308.0
10,ecom,augmented,53,139,146,12,158,4.8e-05,1,338.3
10,ecom,native,54,54,88,11,99,3.672e-05,1,330.9
10,ecom,augmented,54,140,144,11,155,4.568e-05,1,321.3
10,ecom,native,49,49,86,8,94,3.04e-05,1,299.0
10,ecom,augmented,49,135,142,8,150,3.936e-05,1,292.2
10,ecom,native,49,49,86,8,94,3.04e-05,1,299.6
10,ecom,augmented,49,135,142,8,150,3.936e-05,1,293.9
25,ecom,native,50,50,87,8,95,3.056e-05,1,322.8
25,ecom,augmented,50,222,199,8,207,4.848e-05,1,316.9
25,ecom,native,49,49,85,8,93,3.024e-05,1,309.1
25,ecom,augmented,49,221,197,12,209,5.616e-05,1,339.4
25,ecom,native,56,56,88,12,100,3.872e-05,1,344.5
25,ecom,augmented,56,228,200,8,208,4.864e-05,1,304.3
25,ecom,native,55,55,87,8,95,3.056e-05,1,301.7
25,ecom,augmented,55,227,199,8,207,4.848e-05,1,301.3
25,ecom,native,54,54,87,11,98,3.656e-05,1,321.6
