workload,strategy,native_or_proxy,total_cost,amortized_per_query,build_rows,first_query_cost,materialized_share,regret_vs_oracle,chosen
W1_cold_query_driven,Eager,native,5.184216,0.129605,20000,,1.0,2.01539,
W1_cold_query_driven,Late-Persistent,native,1.723036,0.043076,6612,0.106772,0.3306,0.0022,
W1_cold_query_driven,Per-Query,native,4.104544,0.102614,15924,0.106236,0.0,1.3874,
W1_cold_query_driven,QuWARTS-like,proxy,1.723036,0.043076,6612,0.106772,0.3306,0.0022,
W1_cold_query_driven,ReDD-like,proxy,4.104544,0.102614,15924,0.106236,0.0,1.3874,
W1_cold_query_driven,PLOP-like,proxy,1.723036,0.043076,,,,0.0022,Late-Persistent
W1_cold_query_driven,DASE-like,proxy,2.131291,0.053282,7962,,,0.23966,
W1_cold_query_driven,Oracle,native,1.719252,0.042981,,,,0.0,
W2_warm_high_reuse,Eager,native,5.184216,0.051842,20000,,1.0,0.2668,
W2_warm_high_reuse,Late-Persistent,native,4.672387,0.046724,15726,0.038817,0.7863,0.14173,
W2_warm_high_reuse,Per-Query,native,206.66454,2.066645,799744,0.038622,0.0,49.49992,
W2_warm_high_reuse,QuWARTS-like,proxy,4.672547,0.046725,15726,0.000113,0.7863,0.14177,
W2_warm_high_reuse,ReDD-like,proxy,206.66454,2.066645,799744,0.038622,0.0,49.49992,
W2_warm_high_reuse,PLOP-like,proxy,4.672387,0.046724,,,,0.14173,Late-Persistent
W2_warm_high_reuse,DASE-like,proxy,4.886404,0.048864,16196,,,0.19403,
W2_warm_high_reuse,Oracle,native,4.092374,0.040924,,,,0.0,
W3_mixed,Eager,native,5.184216,0.057602,20000,,1.0,0.4476,
W3_mixed,Late-Persistent,native,3.769492,0.041883,13760,0.164446,0.688,0.05256,
W3_mixed,Per-Query,native,70.88482,0.787609,274352,0.163622,0.0,18.79333,
W3_mixed,QuWARTS-like,proxy,3.769652,0.041885,13760,0.079718,0.688,0.05261,
W3_mixed,ReDD-like,proxy,70.88482,0.787609,274352,0.163622,0.0,18.79333,
W3_mixed,PLOP-like,proxy,3.769492,0.041883,,,,0.05256,Late-Persistent
W3_mixed,DASE-like,proxy,4.055275,0.045059,14420,,,0.13236,
W3_mixed,Oracle,native,3.581248,0.039792,,,,0.0,
W4_unseen_capability,Eager,native,5.184216,0.086404,20000,,1.0,1.64394,
W4_unseen_capability,Late-Persistent,native,1.971087,0.032851,7534,0.077159,0.3767,0.00525,
W4_unseen_capability,Per-Query,native,7.137058,0.118951,27660,0.076772,0.0,2.63989,
W4_unseen_capability,QuWARTS-like,proxy,2.02772,0.033795,7752,0.035561,0.3876,0.03413,
W4_unseen_capability,ReDD-like,proxy,5.948029,0.099134,27660,0.038386,0.0,2.03348,
W4_unseen_capability,PLOP-like,proxy,1.971087,0.032851,,,,0.00525,Late-Persistent
W4_unseen_capability,DASE-like,proxy,2.364027,0.0394,8798,,,0.20565,
W4_unseen_capability,Oracle,native,1.960792,0.03268,,,,0.0,
